x,y
2100.721,656.401
2098.146,656.713
2100.373,662.426
2099.5,652.529
2098.117,660.445
2098.733,654.82
2098.503,655.178
2096.47,657.15
2101.082,655.069
2101.316,659.864
2100.992,655.089
2102.06,660.987
2100.249,655.053
2097.074,658.048
2096.94,658.945
2099.646,658.23
2096.372,658.336
2096.605,655.75
2100.998,657.868
2099.316,658.722
2097.095,657.063
2100.146,657.411
2097.629,658.308
2098.813,657.363
2101.426,656.051
2098.056,658.955
2101.179,659.799
2100.677,654.486
2101.442,656.374
2099.79,659.511
2097.383,655.932
2098.637,660.389
2100.969,654.487
2099.66,655.785
2097.256,663.352
2097.38,658.163
2097.423,657.592
2098.037,653.046
2099.332,656.356
2097.387,657.924
2100.933,655.033
2101.317,655.561
2099.059,656.511
2096.916,657.014
2098.73,654.516
2098.673,652.764
2098.95,657.674
2098.678,656.807
2097.679,652.058
2098.223,662.934
2096.979,660.156
2099.524,656.33
2099.569,653.78
2100.044,657.79
2100.296,657.449
2100.488,657.813
2100.062,657.342
2097.57,658.001
2100.252,652.816
2099.834,658.699
2099.585,654.727
2099.406,656.475
2098.855,658.475
2097.035,656.602
2096.729,657.01
2096.395,656.426
2096.451,657.377
2097.095,656.42
2097.713,657.403
2096.911,656.549
2097.986,658.569
2098.453,655.949
2098.348,658.255
2098.07,656.847
2098.495,656.329
2098.056,658.038
2101.047,653.474
2100.721,656.151
2100.828,656.431
2100.745,657.069
2099.909,659.939
2096.801,659.333
2098.112,659.276
2097.486,657.711
2097.544,655.92
2097.727,657.7
2098.228,656.252
2096.553,658.536
2096.621,655.554
2096.972,657.47
2096.993,655.985
2097.254,658.811
2097.311,656.488
2099.567,653.894
2100.253,654.919
2100.394,656.99
2100.023,655.997
2099.818,660.625
2097.642,656.258
2100.302,657.524
2100.83,660.255
2100.472,654.246
2100.458,655.302
2099.837,658.459
2097.208,658.162
2097.736,656.341
2097.503,657.355
2097.503,656.367
2098.271,656.831
2098.163,657.234
2100.849,654.731
2100.01,656.839
2098.068,657.25
2096.584,657.204
2097.02,654.807
2098.718,658.786
2100.598,656.506
2100.817,654.301
2098.959,657.536
2096.662,656.692
2096.942,654.67
2098.518,659.817
2099.897,656.911
2100.859,657.464
2099.6,665.211
2097.738,654.703
2096.503,654.357
2097.108,657.304
2099.497,653.229
2100.587,654.214
2100.679,654.763
2097.332,655.769
2098.153,655.713
2097.703,655.816
2097.42,658.273
2097.706,658.417
2098.506,657.957
2097.385,656.589
2097.827,657.045
2099.55,657.646
2099.996,656.267
2098.88,660.702
2097.997,658.023
2097.857,658.373
2097.465,658.264
2099.32,655.052
2100.89,657.513
2099.827,655.101
2097.798,656.316
2096.845,656.873
2097.399,657.947
2099,655.992
2100.531,656.269
2100.425,655.593
2098.252,657.019
2096.926,652.859
2096.991,660.293
2099.068,658.943
2100.318,657.565
2101.035,658.178
2099.518,663.594
2097.27,656.458
2096.452,663.654
2097.047,658.93
2099.512,654.427
2100.736,652.83
2100.354,652.458
2097.496,656.568
2098.603,654.946
2100.733,659.021
2098.813,657.672
2097.205,656.495
2097.047,656.61
2098.911,656.085
2099.87,659.494
2099.828,657.492
2097.819,658.045
2098.117,656.42
2098.11,654.944
2097.177,658.465
2097.446,659.432
2098.217,659.133
2097.13,654.549
2096.901,656.677
2096.779,655.964
2098.394,656.451
2100.076,658.389
2100.819,654.861
2099.935,657.111
2098.321,657.453
2096.999,657.844
2097.387,657.169
2099.399,652.78
2100.76,657.52
2100.403,652.419
2097,655.362
2100.055,656.055
2098.021,657.64
2097.772,657.655
2100.379,657.957
2097.127,657.417
2100.135,657.217
2097.589,658.075
2097.172,657.894
2098.366,655.526
2099.58,655.051
2097.664,659.716
2096.762,656.588
2096.705,655.034
2098.433,657.343
2100.182,654.361
2100.959,655.957
2100.093,655.884
2098.385,657.14
2097.175,655.843
2096.851,656.655
2097.129,656.925
2098.952,655.547
2100.175,657.167
2100.379,656.512
2099.596,658.037
2098.071,656.494
2096.944,655.083
2097.246,657.537
2098.39,656.868
2099.135,659.424
2100.188,659.267
2100.379,657.919
2099.167,658.183
2098.051,654.183
2097.12,662.227
2098.307,657.07
2096.403,655.407
2097.322,660.035
2097.398,656.793
2097.88,658.243
2098.659,656.136
2097.672,657.419
2096.984,657.048
2100.901,656.266
2100.365,656.931
2098.378,656.873
2097.08,659.111
2097.096,658.198
2098.063,657.512
2099.014,658.816
2099.684,657.079
2100.071,657.494
2099.509,663.084
2098.372,655.122
2097.401,659.635
2097.894,659.498
2098.669,655.451
2097.306,658.157
2097.087,661.185
2097.868,658.54
2098.456,657.459
2098.277,656.801
2097.299,657.121
2096.586,659.553
2096.471,655.573
2096.48,656.105
2096.641,657.695
2096.984,656.114
2096.577,654.601
2096.465,656.121
2096.36,653.015
2096.345,656.936
2096.779,656.202
2096.778,655.754
2096.85,657.418
2096.544,656.095
2096.655,656.757
2096.133,655.811
2096.549,656.49
2096.471,657.374
2096.494,657.687
2096.644,655.686
2096.644,656.309
2096.711,656.103
2096.563,656.933
2096.509,655.061
2096.615,657.838
2096.493,656.792
2096.736,654.856
2096.728,655.033
2096.699,656.573
2096.479,658.2
2096.732,656.76
2096.649,656.294
2096.927,655.223
2096.774,656.266
2096.77,657.165
2096.671,658.358
2097.084,656.028
2097.088,657.157
2098.033,656.435
2097.725,656.246
2097.92,656.312
2097.87,656.247
2097.749,656.189
2097.918,656.113
2097.899,656.034
2097.747,655.982
2097.682,655.935
2097.919,655.905
2097.738,655.86
2098.012,655.831
2097.614,655.543
2098.142,656.167
2097.895,656.434
2098.861,657.029
2097.17,657.302
2098.711,655.744
2098.644,656.83
2098.373,660.565
2101.409,655.178
2099.664,657.337
2099.708,658.941
2099.47,655.776
2099.674,660.27
2099.336,656.676
2099.46,657.988
2099.397,657.497
2099.629,656.27
2099.364,654.367
2099.508,654.718
2099.412,659.061
2099.056,655.302
2099.246,659.872
2099.37,658.904
2099.46,658.819
2099.279,658.784
2099.163,654.252
2098.895,655.531
2098.641,656.398
2098.886,658.527
2099.053,654.781
2099.026,656.198
2099.254,656.267
2098.601,655.426
2099.012,656.568
2098.486,658.152
2098.896,657.682
2098.684,660.523
2099.034,656.345
2098.87,656.28
2098.655,657.631
2098.38,658.828
2098.485,655.261
2098.545,663.157
2098.54,658.25
2098.527,656.47
2098.604,654.909
2098.287,659.25
2098.404,659.133
2098.229,663.484
2098.508,657.493
2098.549,657.097
2098.266,658.491
2098.131,657.144
2098.254,657.396
2098.281,658.575
2097.751,657.484
2098.269,657.64
2098.176,655.98
2097.878,655.279
2097.922,657.673
2097.479,660.339
2098.059,656.998
2097.689,659.28
2097.55,658.183
2097.67,656.212
2097.793,658.531
2097.438,657.286
2097.223,655.97
2097.505,655.909
2097.431,656.764
2097.342,658
2097.311,654.687
2097.233,658.638
2097.118,658.141
2097.064,656.391
2097.188,656.68
2096.871,659.303
2097.36,655.357
2096.823,657.355
2097.22,655.782
2097.046,656.065
2096.991,657.686
2096.955,659.458
2097.003,656.753
2096.812,657.348
2097.028,655.253
2097.127,655.611
2096.999,659.726
2097.284,657.128
2096.686,657.646
2096.766,656.577
2096.548,654.436
2097.12,657.053
2096.86,661.044
2097.004,655.588
2096.945,656.229
2096.531,655.552
2096.879,654.836
2096.795,654.57
2096.579,657.333
2096.857,654.684
2096.815,655.124
2096.781,654.811
2096.51,654.909
2096.803,658.453
2096.691,659.844
2096.753,656.288
2096.503,655.447
2096.836,654.159
2096.57,655.535
2096.836,658.123
2096.482,654.218
2096.693,656.853
2096.813,655.762
2096.527,655.509
2096.245,656.688
2096.477,656.396
2096.7,656.166
2097.029,655.711
2096.601,656.44
2096.793,654.841
2096.503,657.322
2096.946,655.511
2096.819,654.85
2096.732,658.313
2096.52,658.141
2097.032,657.135
2096.854,657.027
2096.928,654.533
2096.679,659.721
2097.032,656.298
2096.978,655.188
2096.93,655.992
2096.714,656.796
2097.082,655.642
2097.117,656.755
2097.514,654.278
2097.357,654.921
2097.151,657.555
2097.764,657.129
2097.773,656.541
2097.904,654.93
2097.953,656.831
2097.471,657.365
2097.525,656.091
2097.783,656.623
2098.373,654.256
2098.202,654.605
2097.704,656.042
2098.163,655.328
2097.958,656.525
2097.873,656.917
2098.051,656.221
2098.273,657.882
2098.477,657.045
2098.216,657.56
2098.477,658.449
2098.572,657.038
2098.696,656.189
2098.636,654.954
2098.774,654.888
2098.85,656.519
2099.008,656.7
2099.123,657.344
2098.969,657.276
2099.216,654.684
2099.068,657.531
2099.104,657.98
2099.501,656.65
2099.959,653.614
2099.677,655.493
2099.794,655.245
2099.285,658.201
2100.046,656.569
2099.614,659.146
2099.596,655.762
2099.849,658.561
2100.17,658.993
2100.129,654.745
2100.515,655.354
2100.294,659.358
2100.169,655.562
2100.557,655.681
2100.253,656.003
2100.191,655.606
2100.115,657.371
2100.565,656.565
2100.172,656.007
2100.51,655.723
2100.394,656.311
2100.613,655.758
2100.302,656.863
2100.855,655.671
2100.593,656.614
2100.476,656.333
2100.649,654.02
2101.026,657.803
2100.279,656.844
2100.499,656.971
2100.854,656.55
2100.98,655.482
2100.858,654.98
2100.98,656.426
2101.321,655.726
2101.058,654.575
2101.308,653.712
2101.033,658.532
2097.117,657.899
2097.596,658.335
2097.593,658.217
2098.534,658.357
2099.237,651.539
2098.785,656.832
2098.73,657.22
2098.61,658.886
2098.799,657.31
2098.737,656.255
2098.725,654.134
2098.531,658.03
2098.797,657.29
2098.601,654.865
2098.258,659.272
2098.065,656.567
2098.251,656.493
2098.103,655.617
2098.198,658.848
2098.348,659.364
2098.389,655.596
2098.163,659.69
2096.718,655.23
2096.792,656.686
2096.999,655.015
2097.007,656.64
2096.941,656.338
2097.017,657.192
2096.939,658.009
2096.851,654.601
2096.938,654.903
2096.982,656.733
2096.865,656.061
2097.158,657.743
2097.01,657.651
2096.832,655.543
2096.845,654.876
2097.333,655.383
2097.097,658.473
2097.401,656.409
2097.148,655.596
2097.107,656.779
2097.112,654.993
2096.852,654.751
2097.538,656.104
2097.771,657.488
2097.653,657.995
2097.463,655.074
2097.483,656.316
2097.578,656.966
2097.778,655.166
2097.867,654.833
2097.833,656.977
2097.851,656.586
2097.681,655.363
2097.939,657.686
2097.923,654.738
2098.164,654.87
2097.967,656.451
2098,655.823
2098.227,657.448
2098.308,657.004
2098.55,656.746
2098.633,658.651
2098.483,655.725
2097.939,655.956
2098.618,655.135
2098.832,659.714
2098.98,659.532
2098.362,656.994
2098.492,657.182
2098.314,654.812
2098.973,658.8
2101.346,656.561
2099.226,654.315
2099.738,652.78
2099.013,656.95
2098.867,657.785
2099.384,657.585
2099.121,655.595
2098.973,655.67
2099.659,656.312
2099.235,657.453
2099.178,658.193
2099.536,656.193
2099.493,655.101
2099.667,657.729
2099.532,655.837
2099.944,656.148
2100.016,657.247
2099.781,657.055
2099.813,656.468
2099.957,656.567
2100.168,655.002
2100.166,655.821
2100.146,655.568
2099.946,659.611
2100.393,656.069
2100.566,655.852
2100.482,657.606
2100.82,658.763
2100.332,655.751
2100.346,655.789
2100.888,657.247
2100.715,659.951
2100.63,657.143
2100.662,654.427
2100.938,655.266
2100.829,658.351
2101.188,654.276
2100.506,656.377
2100.901,656.838
2100.882,657.673
2100.935,655.369
2100.707,656.509
2100.517,656.455
2100.457,656.409
2100.913,656.259
2100.917,656.3
2100.722,655.927
2100.638,656.735
2101.109,657.963
2100.335,656.645
2101.148,656.909
2101.056,655.911
2101,656.271
2100.57,655.491
2101.232,656.162
2101.287,657.69
2100.625,656.715
2100.481,656.63
2101.104,658.25
2100.453,656.269
2100.814,656.011
2100.894,656.115
2100.619,656.482
2100.692,656.408
2100.774,657.634
2100.738,656.727
2100.12,656.628
2100.451,658.191
2100.16,657.037
2100.947,655.091
2099.987,656.199
2100.318,657.165
2100.434,656.635
2100.555,656.339
2100.13,655.148
2100.195,656.918
2100.099,659.287
2100.481,657.083
2099.927,656.702
2099.776,656.927
2100.154,657.726
2100.102,655.87
2099.833,656.512
2100.12,657.43
2099.75,656.708
2099.681,656.242
2100.023,655.864
2099.948,658.792
2099.615,657.21
2099.502,656.285
2099.623,659.394
2099.89,657.442
2099.491,656.205
2099.395,657.648
2099.079,656.423
2099.716,655.948
2099.259,656.227
2099.171,656.711
2099.308,655.537
2099.143,659.41
2099.161,656.821
2099.163,658.206
2098.884,658.196
2098.872,656.303
2098.957,656.616
2098.492,657.752
2098.834,657.233
2098.668,655.319
2098.466,656.659
2098.707,657.357
2098.474,655.079
2098.237,658.114
2098.24,659.574
2097.626,656.213
2098.012,657.518
2097.936,657.74
2098.187,655.456
2097.851,655.953
2097.784,656.901
2097.542,656.688
2097.702,656.523
2097.468,656.452
2097.499,656.38
2097.488,656.39
2097.482,656.349
2097.492,656.305
2097.604,656.23
2097.211,655.577
2099.125,652.849
2099.246,659.317
2099.208,656.634
2098.939,657.338
2098.745,656.252
2098.569,659.332
2098.906,656.887
2098.9,659.517
2098.751,655.719
2099.045,654.442
2098.773,655.417
2098.843,659.509
2098.443,655.105
2098.568,659.948
2098.488,657.996
2098.688,657.633
2098.729,657.085
2098.79,658.996
2098.763,658.659
2098.507,660.801
2098.384,657.273
2098.112,656.701
2098.534,657.271
2098.293,658.792
2098.552,659.093
2098.272,657.197
2098.142,656.964
2098.407,656.379
2097.873,659.268
2098.513,656.89
2098.289,658.187
2098.02,660.325
2097.891,656.627
2097.871,656.487
2098.176,657.224
2097.514,659.101
2097.819,659.748
2097.927,656.483
2097.635,660.278
2097.651,655.83
2097.646,659.009
2097.51,658.309
2097.419,657.357
2097.645,660.841
2097.962,659.125
2097.337,662.362
2097.297,658.094
2097.198,656.057
2097.698,659.964
2097.666,660.382
2097.607,658.433
2097.184,658.134
2097.025,658.325
2097.584,662.619
2097.453,658.634
2097.37,654.997
2096.918,657.153
2096.841,657.247
2097.283,659.455
2097.183,655.945
2096.862,655.322
2096.894,655.481
2097.43,657.037
2097.205,657.43
2097.278,655.706
2097.105,659.057
2096.952,655.16
2096.931,653.075
2097.031,656.771
2096.984,653.913
2096.98,654.09
2097.177,654.759
2096.962,656.939
2096.72,654.688
2096.726,655.289
2096.95,654.626
2097.235,656.125
2096.841,655.83
2096.822,656.727
2097.106,656.6
2097.071,655.424
2096.798,655.665
2096.74,656.552
2096.94,658.123
2096.939,655.436
2096.996,656.963
2096.973,655.308
2096.869,654.037
2097.169,655.07
2097.102,656.104
2096.977,655.852
2097.031,655.468
2097.174,655.187
2097.298,655.591
2097.447,656.534
2097.3,655.034
2097.284,656.477
2097.176,657.344
2097.32,654.288
2096.779,656.109
2097.387,657.673
2097.356,656.479
2097.395,655.268
2097.582,655.12
2098.01,657.375
2097.692,656.851
2097.802,655.358
2097.49,656.985
2098.222,656.144
2097.668,658.671
2098.004,657.316
2098.15,656.165
2097.978,655.409
2097.931,655.379
2097.889,659.204
2098.327,656.979
2097.945,658.607
2098.01,657.094
2098.422,657.387
2098.341,657.067
2098.396,656.507
2099.665,656.478
2097.144,658.654
2097.313,658.403
2097.026,656.182
2097.296,658.177
2097.279,656.263
2097.486,654.082
2097.418,656.488
2097.175,656.777
2097.436,655.357
2097.653,656.904
2097.617,656.458
2097.775,655.283
2097.613,654.98
2097.495,655.029
2097.829,656.332
2097.533,660.616
2098.034,654.85
2098.045,657.926
2097.641,656.321
2097.927,655.123
2097.768,655.805
2097.985,656.669
2097.777,658.556
2097.917,656.652
2098.28,656.287
2098.277,657.632
2098.587,653.949
2098.423,655.357
2098.014,654.873
2098.421,656.841
2098.253,658.932
2098.405,655.143
2098.339,656.044
2098.429,658.124
2098.707,654.407
2098.827,658.002
2098.899,658.525
2098.599,654.465
2099.27,655.857
2098.792,658.403
2098.863,656.653
2098.874,656.237
2098.958,656.559
2098.944,655.137
2099.411,659.154
2099.012,657.637
2099.473,657.137
2099.358,656.442
2099.345,658.209
2099.643,654.656
2099.461,656.379
2099.296,658.268
2099.63,657.459
2099.765,656.76
2099.37,656.861
2099.916,657.179
2100.092,658.985
2099.697,658.141
2099.693,656.457
2099.459,657.895
2099.95,656.583
2100.143,657.299
2100.201,654.97
2099.979,656.081
2099.958,656.075
2100.684,657.223
2099.958,656.855
2100.581,657.649
2099.835,656.158
2100.835,656.804
2100.496,655.509
2101.113,654.89
2100.475,656.242
2100.777,658.122
2100.927,654.081
2101.048,658.308
2097.64,659.615
2098.181,659.701
2098.142,659.567
2098.118,659.498
2098.091,659.438
2098.143,659.339
2098.094,659.284
2098.085,659.212
2098.136,659.209
2100.648,656.081
2100.582,654.731
2100.771,661.563
2100.493,663.789
2101.016,659.06
2100.677,657.787
2100.417,656.267
2100.365,658.165
2100.33,661.603
2100.227,664.552
2100.716,660.266
2100.149,657.009
2100.106,659.435
2100.148,657.299
2100.066,662.539
2100.305,659.369
2100.131,657.546
2100.02,657.132
2099.928,659.094
2099.903,661.299
2099.951,658.669
2099.954,656.486
2099.624,657.495
2099.641,655.604
2099.898,658.985
2099.703,657.005
2099.697,655.844
2099.236,656.883
2099.286,658.684
2099.536,658.963
2099.024,658.115
2099.524,655.743
2099,659.781
2099.238,659.398
2099.344,659.218
2098.893,657.145
2098.794,656.288
2098.622,658.089
2098.769,657.368
2098.768,658.579
2098.53,658.303
2098.361,657.304
2098.589,656.69
2098.599,658.466
2098.842,659.931
2097.926,658.548
2098.09,658.288
